"skill","salary"
"word","52500"
"powerpoint","52500"
"outlook","52500"
"excel","77018"
"sap","77018"
"powerpoint","77018"
"sql","70000"
"python","70000"
"nosql","70000"
"r","70000"
"matlab","70000"
"sql","74050"
"python","74050"
"r","74050"
"excel","74050"
"sql","93600"
"python","93600"
"r","93600"
"bigquery","93600"
"snowflake","93600"
"jupyter","93600"
"excel","93600"
"tableau","93600"
"power bi","93600"
"powerpoint","93600"
"jira","93600"
"confluence","93600"
"sql","112500"
"python","112500"
"snowflake","112500"
"tableau","112500"
"power bi","112500"
"sql","75000"
"excel","75000"
"sql","80258"
"tableau","80258"
"visio","80258"
"word","55000"
"flow","55000"
"sql","100000"
"python","100000"
"r","100000"
"power bi","100000"
"dax","100000"
"sql","125000"
"excel","125000"
"power bi","125000"
"python","95700"
"r","95700"
"crystal","95700"
"excel","95700"
"tableau","95700"
"power bi","95700"
"sql","110000"
"python","110000"
"r","110000"
"sas","110000"
"javascript","110000"
"azure","110000"
"databricks","110000"
"excel","110000"
"power bi","110000"
"sas","110000"
"word","110000"
"powerpoint","110000"
"jira","110000"
"sql","110000"
"tableau","110000"
"power bi","110000"
"go","71000"
"power bi","71000"
"excel","80850"
"python","61250"
"javascript","61250"
"html","61250"
"powershell","61250"
"azure","61250"
"aws","61250"
"linux","61250"
"kubernetes","61250"
"sql","110000"
"sql server","110000"
"azure","110000"
"aws","110000"
"oracle","110000"
"sql","85000"
"css","85000"
"tableau","85000"
"power bi","85000"
"sql","90000"
"html","90000"
"vba","90000"
"windows","90000"
"excel","90000"
"power bi","90000"
"dax","90000"
"sharepoint","90000"
"powerpoint","90000"
"sql","65000"
"sql server","65000"
"tableau","65000"
"power bi","65000"
"ssis","65000"
"ssrs","65000"
"sql","79124"
"sas","79124"
"javascript","79124"
"excel","79124"
"sas","79124"
"spss","79124"
"sql","51014"
"python","51014"
"java","51014"
"sql server","51014"
"oracle","51014"
"sap","51014"
"sql","87500"
"python","87500"
"oracle","87500"
"excel","87500"
"tableau","87500"
"power bi","87500"
"powerpoint","87500"
"planner","87500"
"sql","105000"
"go","105000"
"excel","105000"
"r","57500"
"linux","57500"
"windows","57500"
"looker","57500"
"sql","73453"
"t-sql","73453"
"power bi","73453"
"flow","73453"
"crystal","125000"
"tableau","125000"
"sql","80000"
"python","80000"
"express","80000"
"sql","74802"
"excel","74802"
"tableau","74802"
"word","74802"
"powerpoint","74802"
"outlook","74802"
"sql","55000"
"python","55000"
"r","55000"
"tableau","55000"
"power bi","55000"
"python","204000"
